lol2,pname,unit_type,bedroom,amount_off,percentage_off,growth_rate,increase_amount,market_rate_date,property_name_id
,2500,25-1-15d,1,0,0,0.04,25,5/1/16,1
,2500,25-1-1a,1,0,0,0.04,25,5/1/16,1
,2500,25-2-15c,2,0,0,0.04,25,5/1/16,1
,2500,25-2-1b,2,0,0,0.04,25,5/1/16,1
,2500,25-2-1b2,2,0,0,0.04,25,5/1/16,1
,2500,25-2-2b1,2,0,0,0.04,25,5/1/16,1
,2500,25-2-2d,2,0,0,0.04,25,5/1/16,1
,2500,25-3-2a,3,0,0,0.03,25,5/1/16,1
,2500,25-3-2c,3,0,0,0.03,25,5/1/16,1
,Gables 37,37-1-1a,1,0,0,0.035,25,10/1/16,2
,Gables 37,37-2-1b1,2,0,0,0.02125,25,10/1/16,2
,Gables 37,37-2-1b2,2,0,0,0.02125,25,10/1/16,2
,Gables 37,37-2-2b,2,0,0,0.02125,25,10/1/16,2
,Gables 37,37-2-2bk,2,0,0,0.02125,25,10/1/16,2
,Gables 37,37-2-2bl,2,0,0,0.02125,25,10/1/16,2
,Gables 37,37-2-2d,2,0,0,0.02125,25,10/1/16,2
,Gables 37,37-2-2d1,2,0,0,0.02125,25,10/1/16,2
,Gables 37,37-3-2c,3,0,0,0.035,25,10/1/16,2
,441,441-1-1a,1,0,0,0.04,25,10/1/16,3
,441,441-1-1m,1,0,0,0.04,25,10/1/16,3
,441,441-2-1b,2,0,0,0.04,25,10/1/16,3
,441,441-2-2c,2,0,0,0.04,25,10/1/16,3
,Aventura,ah-1-1a,1,0,0,0.02,25,5/1/16,4
,Aventura,ah-1-1al,1,0,0,0.02,25,5/1/16,4
,Aventura,ah-1-1d,1,0,0,0.02,25,5/1/16,4
,Aventura,ah-1-1m,1,0,0,0.02,25,5/1/16,4
,Aventura,ah-1-1ml,1,0,0,0.02,25,5/1/16,4
,Aventura,ah-2-1i,2,0,0,0.025,25,5/1/16,4
,Aventura,ah-2-1il,2,0,0,0.025,25,5/1/16,4
,Aventura,ah-2-2b,2,0,0,0.025,25,5/1/16,4
,Aventura,ah-2-2bl,2,0,0,0.025,25,5/1/16,4
,Aventura,ah-2-2c,2,0,0,0.025,25,5/1/16,4
,Aventura,ah-2-2cl,2,0,0,0.025,25,5/1/16,4
,Brickell 1st,b1-1-1be,1,0,0,0.03,25,5/1/16,5
,Brickell 1st,b1-1-1bw,1,0,0,0.03,25,5/1/16,5
,Brickell 1st,b1-2-2a,2,0,0,0.04,25,5/1/16,5
,Brickell 1st,b1-2-2a1,2,0,0,0.04,25,5/1/16,5
,Brickell 1st,b1-2-2n,2,0,0,0.04,25,5/1/16,5
,Brickell 1st,b1-2-2p,2,0,0,0.04,25,5/1/16,5
,Brickell 1st,b1-2-2p2,2,0,0,0.04,25,5/1/16,5
,Brickell 1st,b1-2-2s,2,0,0,0.04,25,5/1/16,5
,Brickell 1st,b1-3-2t,3,0,0,0.03,25,5/1/16,5
,Brickell 1st,b1-3-3z,3,0,0,0.03,25,5/1/16,5
,Country Club ,cc-eff,1,0,0,0.015,25,5/1/16,6
,Country Club ,cc-studi,1,0,0,0.015,25,5/1/16,6
,Country Club ,cc1-15as,1,0,0,0.015,25,5/1/16,6
,Country Club ,cc1-1a,1,0,0,0.015,25,5/1/16,6
,Country Club ,cc1-1ad,1,0,0,0.015,25,5/1/16,6
,Country Club ,cc1-1am,1,0,0,0.015,25,5/1/16,6
,Country Club ,cc2-1c,2,0,0,0.015,25,5/1/16,6
,Country Club ,cc2-2b,2,0,0,0.015,25,5/1/16,6
,Country Club ,cc2-2bm,2,0,0,0.015,25,5/1/16,6
,Country Club ,cc2-2d,2,0,0,0.015,25,5/1/16,6
,Country Club ,th2-25th,2,0,0,0.015,25,5/1/16,6
,Country Club ,cc3-2f,3,0,0,0.025,25,5/1/16,6
,Colony,cd1-15el,1,75,0,0.04,25,6/1/16,7
,Colony,cd1-15em,1,75,0,0.04,25,6/1/16,7
,Colony,cd1-15es,1,75,0,0.04,25,6/1/16,7
,Colony,cd1-1al,1,75,0,0.04,25,5/1/16,7
,Colony,cd1-1as,1,75,0,0.04,25,5/1/16,7
,Colony,cd1-1pl,1,75,0,0.04,25,6/1/16,7
,Colony,cd1-1ps,1,75,0,0.04,25,6/1/16,7
,Colony,cd1-1r,1,75,0,0.04,25,6/1/16,7
,Colony,cd2-15j,2,125,0,0.025,25,10/1/16,7
,Colony,cd2-1l,2,125,0,0.025,25,10/1/16,7
,Colony,cd2-25bl,2,125,0,0.025,25,6/1/16,7
,Colony,cd2-25bs,2,125,0,0.025,25,6/1/16,7
,Colony,cd2-2b1,2,125,0,0.025,25,5/1/16,7
,Colony,cd2-2b2,2,125,0,0.025,25,5/1/16,7
,Colony,cd2-2b3l,2,125,0,0.025,25,5/1/16,7
,Colony,cd2-2b3s,2,125,0,0.025,25,5/1/16,7
,Colony,cd2-2g,2,125,0,0.025,25,6/1/16,7
,Colony,cd2-2j,2,125,0,0.025,25,6/1/16,7
,Colony,cd3-2c1,3,0,0,0.04,25,5/1/16,7
,Colony,cd3-2c2,3,0,0,0.025,25,5/1/16,7
,Cherry Grove,cg-effec,1,0,0,0.03,25,5/1/16,8
,Cherry Grove,cg-2-1b,2,75,0,0.01,25,5/1/16,8
,Cherry Grove,cg-3-2a,3,0,0,0.02,25,5/1/16,8
,Cypress,cp-1-1a,1,0,0,0.05,25,2/15/17,9
,Cypress,cp-2-1b,2,0,0,0.05,25,2/15/17,9
,Fontainebleau,fb-1-1b,1,0,0,0.035,25,5/1/16,10
,Fontainebleau,fb-1-1e,1,0,0,0.035,25,5/1/16,10
,Fontainebleau,fb-1-1em,1,0,0,0.035,25,5/1/16,10
,Fontainebleau,fb-1-1j,1,0,0,0.035,25,5/1/16,10
,Fontainebleau,fb-1-1m,1,0,0,0.035,25,5/1/16,10
,Fontainebleau,fb-2-1d,2,75,0,0.03,25,10/1/16,10
,Fontainebleau,fb-2-2a,2,75,0,0.03,25,5/1/16,10
,Fontainebleau,fb-2-2c,2,75,0,0.03,25,5/1/16,10
,Fontainebleau,fb-2-2k,2,75,0,0.03,25,5/1/16,10
,Fontainebleau,fb-2-2l,2,75,0,0.03,25,5/1/16,10
,Fontainebleau,fb-3-2a1,3,75,0,0.03,25,5/1/16,10
,Fontainebleau,zb-3-2a2,3,75,0,0.03,25,5/1/16,10
,Fontainebleau,fbs-1-1b,1,0,0,0.035,25,5/1/16,10
,Fontainebleau,fbs-2-2a,2,75,0,0.03,25,5/1/16,10
,Fontainebleau,fbs-3-2c,3,0,0,0.03,25,5/1/16,10
,Fontainebleau,fbv-1-1a,1,0,0,0.035,25,5/1/16,10
,Fontainebleau,fbv-2-2b,2,100,0,0.03,25,5/1/16,10
,Fontainebleau,fbv-2-2c,2,100,0,0.03,25,5/1/16,10
,Fontainebleau,fbv-2-2d,2,100,0,0.03,25,5/1/16,10
,Fontainebleau,fbv-2-2e,2,100,0,0.03,25,5/1/16,10
,International,ic-1-1b,1,0,0,0.05,25,5/1/16,11
,International,ic-2-2a,2,75,0,0.05,25,5/1/16,11
,Country Club ,is1-1i1,1,75,0,0.015,25,5/1/16,6
,Country Club ,is1-1i1a,1,75,0,0.015,25,5/1/16,6
,Country Club ,is1-1i6,1,75,0,0.015,25,5/1/16,6
,Country Club ,is1-1i6s,1,75,0,0.015,25,5/1/16,6
,Country Club ,is2-1i3,2,100,0,0.015,25,5/1/16,6
,Country Club ,is2-2i2,2,100,0,0.015,25,5/1/16,6
,Country Club ,is2-2i2a,2,100,0,0.015,25,5/1/16,6
,Country Club ,is2-2i4,2,100,0,0.015,25,5/1/16,6
,Country Club ,is2-2i5,2,100,0,0.015,25,5/1/16,6
,IYC,iy-1-1a,1,200,0,0.02,25,5/1/16,12
,IYC,iy-2-2b,2,150,0,0.03,25,5/1/16,12
,IYC,iy-3-2c,3,200,0,0.02,25,5/1/16,12
,Las Brisas,lb-1-1c,1,0,0,0.05,25,11/1/16,13
,Las Brisas,lb-1-1cl,1,0,0,0.05,25,11/1/16,13
,Las Brisas,lb-1-1cm,1,0,0,0.05,25,11/1/16,13
,Las Brisas,lb-1-1f,1,0,0,0.05,25,11/1/16,13
,Las Brisas,lb-2-1a,2,0,0,0.05,25,11/1/16,13
,Las Brisas,lb-2-1b,2,0,0,0.05,25,11/1/16,13
,Las Brisas,lb-2-1d,2,0,0,0.05,25,11/1/16,13
,Lago Club,lc-1-1m,1,0,0,0.04,25,5/1/16,14
,Lago Club,lc-2-2a,2,75,0,0.035,25,5/1/16,14
,Lago Club,lc-2-2b,2,75,0,0.035,25,5/1/16,14
,Lago Club,lc-2-2c,2,75,0,0.035,25,5/1/16,14
,Lago Club,lc-2-2d,2,0,0,0.035,25,5/1/16,14
,Lago Club,lc-2-2e,2,75,0,0.035,25,5/1/16,14
,Lago Club,lc-3-3f,3,0,0,0.04,25,5/1/16,14
,Miami Bay Club,mbc1-1a1,1,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc1-1a2,1,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc1-1a3,1,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc1-1a4,1,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc1-1a5,1,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc1-1a6,1,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc1-1a7,1,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc1-1f,1,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc1-1fd,1,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-1b7,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-2b1,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-2b2,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-2b3,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-2b4,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-2b5,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-2b6,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-2c,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-2c1,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-2c2,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc2-2c3,2,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc3-2d,3,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc3-2e,3,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc3-2g,3,0,0,0,25,2/1/17,15
,Miami Bay Club,mbc5-4h,5,0,0,0,25,2/1/17,15
,Miami River,mr1-1c,1,0,0,0.05,25,5/1/16,16
,Miami River,mr1-1c1,1,0,0,0.05,25,5/1/16,16
,Miami River,mr1-1c2,1,0,0,0.05,25,5/1/16,16
,Miami River,mr1-1cb,1,0,0,0.05,25,5/1/16,16
,Miami River,mr2-1a,2,150,0,0.04,25,5/1/16,16
,Miami River,mr2-1a1,2,150,0,0.04,25,5/1/16,16
,Miami River,mr2-1a10,2,150,0,0.04,25,5/1/16,16
,Miami River,mr2-1a2,2,150,0,0.04,25,5/1/16,16
,Miami River,mr2-1a3,2,150,0,0.04,25,5/1/16,16
,Miami River,mr2-1a4,2,150,0,0.04,25,5/1/16,16
,Miami River,mr2-1a5,2,150,0,0.04,25,5/1/16,16
,Miami River,mr2-1a6,2,150,0,0.04,25,5/1/16,16
,Miami River,mr2-1a8,2,150,0,0.04,25,5/1/16,16
,Miami River,mr2-1a9,2,150,0,0.04,25,5/1/16,16
,Miami River,mr2-1ab,2,150,0,0.04,25,5/1/16,16
,Miami River,mr3-2b1,3,0,0,0.055,25,5/1/16,16
,Miami River,mr3-2b2,3,0,0,0.055,25,5/1/16,16
,Miami River,mr3-2b3,3,0,0,0.055,25,5/1/16,16
,Miami River,mr3-2b4,3,0,0,0.055,25,5/1/16,16
,Miami River,mr3-2b5,3,0,0,0.055,25,5/1/16,16
,Miami River,mr3-2b6,3,0,0,0.055,25,5/1/16,16
,Miami River,mr3-2b7,3,0,0,0.055,25,5/1/16,16
,Royalton,rg-effec,1,0,0,0.04,25,5/1/16,17
,Royalton,rg-1-15s,1,0,0,0.04,25,5/1/16,17
,Royalton,rg-1-1a,1,0,0,0.04,25,5/1/16,17
,Royalton,rg-1-1m,1,0,0,0.04,25,5/1/16,17
,Royalton,rg-2-1c,2,25,0,0.03,25,5/1/16,17
,Royalton,rg-2-2b,2,25,0,0.03,25,5/1/16,17
,Royalton,rg-2-2d,2,25,0,0.03,25,5/1/16,17
,Royalton,rg-2-2i,2,25,0,0.03,25,5/1/16,17
,Royal Palms,rp-1-1a,1,75,0,0.04,25,5/1/16,18
,Royal Palms,rp-2-1cm,2,150,0,0.04,25,5/1/16,18
,Royal Palms,rp-2-2b,2,150,0,0.04,25,5/1/16,18
